"","X","gradu","skilled","income","net_in_ra","net_in","X20_net_in","X20_net_in_ra","연도","V10","Network"
"59","정선군2010",0.1328759,0.0563072,31972664,-0.039980509,-1641,-1804,-0.173336536,2010,0.1337524517,-0.524069568103871
"60","철원군2010",0.1359873,0.0577068,28352354,-0.018169555,-889,-174,-0.01342489,2010,0.1369417287,-0.486841795320202
"61","화천군2010",0.1926773,0.0369893,42136677,0.098013462,2388,1523,0.206326627,2010,0.1623742862,-0.189972795883157
"62","양구군2010",0.1683581,0.0520516,31425674,0.101725953,2222,1043,0.176809629,2010,0.1558296579,-0.266366892509435
"63","인제군2010",0.1690449,0.0620449,37768607,0.008542177,272,507,0.0582357,2010,0.1633804886,-0.178227602749547
"64","고성군2010",0.1642345,0.0431814,26812234,0.010195271,307,-230,-0.031362924,2010,0.1466430413,-0.373600373776655
"65","양양군2010",0.1461883,0.0620001,29568477,-0.00458305,-128,-876,-0.136384867,2010,0.1471891988,-0.367225189898273
"66","충주시2010",0.2257132,0.0878254,23461726,-0.000460474,-96,-2741,-0.049667044,2010,0.2216717902,0.502194741007075
"67","제천시2010",0.1879891,0.0788091,17660341,-0.000772235,-106,-2672,-0.076994006,2010,0.1886263274,0.116461867804287
"68","청주시2010",0.2345017,0.1166794,26279872,0.017464134,14127,8581,0.03414311,2010,0.2482850377,0.812845691352727
"69","보은군2010",0.0847223,0.0504522,23916781,0.007151848,250,-1088,-0.161149374,2010,0.0955683715,-0.969784462620393
"70","옥천군2010",0.1140207,0.0641381,22000296,-0.021082832,-1139,-2111,-0.167639468,2010,0.1259582716,-0.615049425230671
"71","영동군2010",0.1474757,0.0491751,18385389,0.026522574,1340,-1307,-0.118136214,2010,0.1390321156,-0.462441140079796
"72","진천군2010",0.1243633,0.0583717,68619367,0.041372757,2569,423,0.025219854,2010,0.129193645,-0.577283578675002
"73","괴산군2010",0.1084591,0.0371044,31000760,0.075107937,2766,-610,-0.085867117,2010,0.1029133945,-0.884047523704514
"74","음성군2010",0.1347511,0.0634788,49473483,0.047533839,4330,417,0.017468895,2010,0.1401485393,-0.449409356439208
"75","단양군2010",0.1090627,0.0504844,30303674,-0.01329478,-423,-1170,-0.169552931,2010,0.1127997997,-0.76864555440775
"76","증평군2010",0.1992499,0.0679794,29067396,0.016282468,546,-76,-0.007604943,2010,0.1889311151,0.12001959177836
"77","천안시2010",0.2762227,0.1206798,40579379,0.058582718,32670,22893,0.126105134,2010,0.2806100675,1.1901690987017
"78","공주시2010",0.2189819,0.0790274,25471076,-0.037020732,-4625,-4333,-0.138143212,2010,0.2106925751,0.374036627087895
"79","보령시2010",0.1243287,0.0706092,26391370,-0.024686528,-2650,-2891,-0.108539355,2010,0.1378210953,-0.476577130326115
"80","아산시2010",0.2335353,0.0937665,96952245,0.086039873,22817,10391,0.116374917,2010,0.2314023726,0.615777822890512
"81","서산시2010",0.1768627,0.089004,59579205,0.027363711,4391,2207,0.049925914,2010,0.1879677569,0.108774510156762
"82","논산시2010",0.1635015,0.0630225,23110767,-0.018822496,-2400,-3704,-0.120222659,2010,0.160152468,-0.215907621586982
"83","계룡시2010",0.4262944,0.1216322,12306751,-0.083898069,-3615,-1074,-0.088416893,2010,0.3873841062,2.43652043535832
"84","당진시2010",0.1441837,0.0731197,57123725,0.13366873,19369,5164,0.129747114,2010,0.1536335038,-0.292002146465966
"85","금산군2010",0.1683192,0.0417093,30588466,-0.011563964,-654,-1862,-0.143512274,2010,0.1484901495,-0.352039460636639
"86","부여군2010",0.1005863,0.0476856,22726393,-0.03053486,-2291,-3027,-0.195928671,2010,0.1048282333,-0.861696005236927
"87","서천군2010",0.1030326,0.0429091,27954012,-0.020154781,-1211,-1930,-0.159286923,2010,0.1031807819,-0.880926365720301
"88","청양군2010",0.0777103,0.0534235,23933212,0.013797978,449,-1112,-0.170043581,2010,0.0927115966,-1.00313100695357
"89","홍성군2010",0.1591541,0.0645115,21672493,0.052794114,4650,-235,-0.011404169,2010,0.1581315792,-0.23949703983678
"90","예산군2010",0.1317989,0.0549721,23453981,-0.013379003,-1164,-2809,-0.140890282,2010,0.132047097,-0.543975821868332
"91","태안군2010",0.1101715,0.0549153,29289595,-0.001502048,-95,-1457,-0.102844639,2010,0.1167163676,-0.722928264917683
"92","전주시2010",0.3415117,0.1306943,17324905,0.000798098,512,-4065,-0.021436764,2010,0.333849642,1.81162367369948
"93","군산시2010",0.2337702,0.0863506,32463109,0.01498894,4086,183,0.002352669,2010,0.2263254056,0.556515433983502
"94","익산시2010",0.2490971,0.0908477,22170598,-0.025685918,-7893,-6766,-0.079461643,2010,0.2403409736,0.720116269200403
"95","정읍시2010",0.1304522,0.0691992,19684131,-0.033254098,-4057,-4429,-0.152526905,2010,0.1411535398,-0.437678192836463
"96","남원시2010",0.1406967,0.0701813,18767143,-0.019572771,-1718,-2601,-0.129312916,2010,0.149090746,-0.345028821536722
"97","김제시2010",0.1262437,0.0526949,24228807,-0.041676383,-3932,-3746,-0.175814892,2010,0.1265095902,-0.608613996896221
"98","완주군2010",0.1960779,0.0635206,37885173,0.05686157,4840,319,0.013943527,2010,0.1835361395,0.0570451540577615
"99","진안군2010",0.0910656,0.0370926,19754965,-0.036669934,-1010,-1145,-0.195642888,2010,0.0906078474,-1.02768763756654
"100","무주군2010",0.1028523,0.0524768,21554344,-0.0030104,-77,-797,-0.146345942,2010,0.1098176737,-0.803455296283501
