연도,사업,경제성 평가 비중,정책성 평가 비중,지역균형발전 비중,지역낙후도 평가 비중,B/C,AHP,시기
2006,평택 당진항 부두 및 터미널 건설사업,0.476,0.342,0.182,0.121,0.394,0.317,개정1
2007,인덕원 병점 전철 건설사업,0.500,0.283,0.217,0.145,0.310,0.257,개정1
2007,대도시권 교통혼잡로 광주북부 개선사업,0.494,0.308,0.199,0.133,1.410,0.626,개정1
2007,보령 조치원 복선전철 건설사업,0.479,0.307,0.213,0.142,0.390,0.413,개정1
2007,대덕테크노밸리 진입도로 건설사업,0.489,0.330,0.181,0.120,1.190,0.596,개정1
2007,용문 홍천 단선전철 건설사업,0.467,0.299,0.234,0.156,0.400,0.367,개정1
2007,첨단치료센터 설립사업,0.495,0.308,0.197,0.131,0.380,0.340,개정1
2007,세종 외삼동 연결도로 확장사업,0.484,0.291,0.225,0.150,1.280,0.666,개정1
2007,평택호 횡단도로 건설사업,0.450,0.335,0.215,0.143,1.314,0.318,개정1
2007,대도시권 교통혼잡도로 개선사업 식만 사상,0.493,0.325,0.182,0.122,0.920,0.466,개정1
2007,가양대교 북단 연결도로 건설사업,0.467,0.333,0.200,0.134,0.900,0.451,개정1
2007,광주순환고속도로 건설사업,0.486,0.312,0.202,0.135,1.050,0.543,개정1
2007,국도19호선 확장사업,0.484,0.274,0.242,0.161,0.235,0.427,개정1
2007,국도6호선 확장사업,0.476,0.283,0.241,0.161,0.350,0.408,개정1
2007,울산 산단 진입도로 건설사업,0.433,0.334,0.233,0.155,1.680,0.654,개정1
2007,국도75호선 건설사업,0.467,0.301,0.233,0.155,1.470,0.676,개정1
2007,대구 순환 고속도로 건설사업,0.485,0.316,0.199,0.133,1.140,0.584,개정1
2007,대도디권 교통혼잡도로 개선사업 대전갑천,0.484,0.317,0.199,0.133,0.370,0.326,개정1
2007,중부내륙고속도로 영산 현풍 확장사업,0.453,0.332,0.215,0.147,0.910,0.537,개정1
2007,대도시권 교통혼잡도로 개선사업 광주 건설사업,0.485,0.334,0.181,0.121,1.070,0.568,개정1
2007,서해안고속도로 확장사업 당진 홍천,0.476,0.308,0.216,0.144,1.170,0.637,개정1
2007,국도23호선 확장사업,0.482,0.285,0.233,0.155,0.104,0.388,개정1
2007,백싡비구 중규모 농촌 용수개발사업,0.481,0.334,0.185,0.123,1.004,0.548,개정1
2007,경부고속도로 남이 천안 확장사업,0.500,0.309,0.191,0.127,1.540,0.672,개정1
2007,대구전시컨벤션센터 확장사업,0.476,0.342,0.182,0.121,1.010,0.526,개정1
2007,울산 항만배후도로 개설 및 확장사업,0.433,0.334,0.233,0.155,1.618,0.654,개정1
2007,국도77호선 안정 당동 확장사업,0.459,0.308,0.233,0.155,0.490,0.481,개정1
2007,인천보훈병원 건립사업,0.484,0.325,0.191,0.072,0.250,0.277,개정1
2007,국도77호선 건설사업,0.492,0.308,0.200,0.133,0.174,0.336,개정1
2007,예산 야목 복선전철 건설사업,0.459,0.334,0.207,0.138,0.950,0.539,개정1
2007,부산북항 재개발 사업,0.492,0.350,0.158,0.105,2.390,0.502,개정1
2007,부산신항 남측컨테이너터미널 조성사업,0.493,0.333,0.174,0.116,0.680,0.422,개정1
2007,국도5호선 확장사업,0.425,0.342,0.233,0.155,0.620,0.529,개정1
2007,세종 광역교통시설 건설사업,0.433,0.334,0.233,0.155,1.680,0.654,개정1
2007,세종 광역교통시설 건설사업2,0.477,0.309,0.215,0.143,1.340,0.651,개정1
2007,세종 광역교통시설 건설사업3,0.486,0.317,0.197,0.132,1.370,0.701,개정1
2007,세종 광역교통시설 건설사업4,0.450,0.334,0.216,0.144,0.900,0.505,개정1
2007,세종 광역교통시설 건설사업5,0.459,0.325,0.216,0.144,1.130,0.627,개정1
2007,세종 광역교통시설 건설사업6,0.494,0.308,0.199,0.133,1.370,0.603,개정1
2007,세종 광역교통시설 건설사업7,0.494,0.308,0.199,0.133,0.534,0.368,개정1
2007,세종 광역교통시설 건설사업8,0.477,0.317,0.207,0.138,0.846,0.451,개정1
2007,국립중앙도서관 부산분관 건립,0.459,0.335,0.207,0.138,0.810,0.324,개정1
2008,보현댐 건설사업,0.433,0.344,0.233,0.155,1.270,0.698,개정1
2008,경부고속도로 남이 비룡 확장사업,0.486,0.317,0.197,0.132,1.240,0.633,개정1
2008,평택 당진항 국제카페리부두 건설사업,0.477,0.335,0.188,0.125,0.960,0.518,개정1
2008,국도7호선(동해~옥계) 확장사업,0.451,0.316,0.233,0.156,0.710,0.501,개정1
2008,국도23호선(장흥~대덕) 확장사업,0.467,0.300,0.233,0.155,0.060,0.434,개정1
2008,디지털방송콘텐츠제작센터 건립사업,0.488,0.358,0.153,0.102,0.760,0.397,개정1
2008,국도43호선(의정부~소흘) 확장사업,0.501,0.283,0.216,0.144,1.160,0.652,개정1
2008,대구테크노폴리스 진입도로 건설사업,0.468,0.316,0.217,0.144,1.198,0.602,개정1
2008,율촌자유무역지역 확대사업,0.476,0.334,0.190,0.126,0.892,0.462,개정1
2008,울산 자유무역지역지정사업,0.476,0.343,0.181,0.121,1.500,0.656,개정1
2008,삼산연륙교 건설사업,0.450,0.335,0.215,0.143,0.856,0.531,개정1
2008,친환경농산물 종합물류센터 건립사업,0.475,0.317,0.208,0.139,0.440,0.336,개정1
2008,국도20호선(산청 단성~시천) 확장사업,0.467,0.309,0.224,0.149,0.700,0.528,개정1
2008,행정도시 종합도서관 건립사업,0.459,0.342,0.199,0.132,1.010,0.560,개정1
2008,마산자유무역지역 확대사업,0.475,0.317,0.208,0.139,1.150,0.604,개정1
2008,내포 보부상촌 조성사업,0.478,0.317,0.205,0.137,1.400,0.675,개정1
2008,제주해군기지 크루즈선박 공동활용,0.484,0.325,0.191,0.127,1.410,0.683,개정1
2008,김제 자유무역지역 지정사업,0.466,0.313,0.220,0.147,1.620,0.728,개정1
2008,벡스코 시설확충사업,0.450,0.343,0.207,0.138,0.940,0.508,개정1
2008,경주역사도시 문화관 건립사업,0.458,0.333,0.208,0.139,1.800,0.682,개정1
2008,대구지하철 1호선 서편 연장사업,0.501,0.308,0.191,0.127,1.130,0.567,개정1
2008,장항선 2단계 개량사업,0.467,0.325,0.208,0.139,0.920,0.572,개정1
2008,중부고속도로 남이 음성 확장사업,0.477,0.309,0.215,0.143,1.630,0.698,개정1
2008,대도시권혼잡도로 대구 상동교 가창 확장사업,0.484,0.317,0.199,0.133,1.100,0.570,개정1
2008,국도42호선 원주 새말 확장사업,0.477,0.309,0.214,0.143,0.350,0.449,개정1
2008,여수공항 활주로 연장사업,0.450,0.326,0.225,0.150,0.134,0.391,개정1
2008,구미3단계 광역상수도사업,0.467,0.333,0.200,0.134,0.910,0.458,개정1
2008,국도7호선 포항 흥해 우회건설사업,0.467,0.300,0.233,0.155,0.910,0.503,개정1
2008,국도77호선 4차로 확장,0.485,0.310,0.205,0.137,0.760,0.483,개정1
2009,충남도청 이전 진입도로 건설사업,0.459,0.308,0.233,0.155,0.810,0.536,개정1
2009,대산~당진 고속도로 건설사업,0.450,0.340,0.210,0.140,0.640,0.488,개정1
2009,송산 산업단지 진입도로 건설사업,0.455,0.329,0.216,0.144,1.270,0.670,개정1
2009,포항시 외곽순환 고속도로 건설사업,0.476,0.318,0.206,0.138,0.074,0.215,개정1
2009,평창 방림 장평 국도 확장사업,0.460,0.283,0.257,0.171,0.100,0.421,개정1
2009,광주 송정 나주시계 광역도로 확장사업,0.468,0.318,0.214,0.143,1.050,0.583,개정1
2009,군산항 잡화부두 민간투자사업,0.460,0.301,0.239,0.159,0.129,0.666,개정1
2009,간월호 관광도로 건설사업,0.451,0.309,0.240,0.160,0.250,0.393,개정1
2009,대구도시철도 1호선 하양 연장사업,0.484,0.307,0.208,0.139,0.580,0.333,개정1
2009,대전 와동~신탄진 광역도로 건설사업,0.494,0.316,0.190,0.126,0.922,0.425,개정1
2009,동김해 식만 광역도로 건설사업,0.459,0.317,0.224,0.150,1.050,0.526,개정1
2009,역사민속박물관 건립사업,0.458,0.322,0.221,0.147,0.820,0.430,개정1
2009,익산 산업단지 진입도로 건설사업,0.461,0.302,0.238,0.158,1.110,0.624,개정1
2009,시설원예시험장 이전사업,0.481,0.320,0.198,0.132,1.170,0.588,개정1
2009,구포대교 대동수문간 도로확장,0.463,0.292,0.245,0.163,1.200,0.600,개정1
2009,경북대학교병원 임상실습동 건립사업,0.483,0.310,0.206,0.138,0.980,0.511,개정1
2009,울릉항 2단계 개발사업,0.446,0.310,0.244,0.163,0.160,0.451,개정1
2009,포항 기계 안동 국도 확장사업,0.459,0.304,0.237,0.158,0.780,0.504,개정1
2009,보령 부여 국도건설,0.443,0.301,0.256,0.171,0.907,0.590,개정1
2009,디지털방송콘텐츠 클러스터 건립사업,0.482,0.326,0.192,0.128,1.030,0.529,개정1
2009,마산 자유무역지역 구조고도화 사업,0.469,0.308,0.223,0.149,0.850,0.361,개정1
2009,태릉 구리IC간 확장사업,0.502,0.200,0.199,0.132,1.220,0.598,개정1
2009,고흥 봉래 국도건설,0.434,0.309,0.257,0.171,0.230,0.445,개정1
2009,광주 하남 장성 삼계 간 도로건설,0.475,0.309,0.216,0.144,0.770,0.435,개정1
2009,모터스포츠산업 클러스터 조성사업,0.451,0.302,0.248,0.165,0.400,0.345,개정1
