,gradu2010,skilled2010,manu2010,service2010,enov2010,young2010,V7,V8
106,0.087218622,0.046275002,0.03615171,0.169603424,0.020853253,0.7,0.616463481,0.616463481
107,0.191355501,0.083742164,0.090976909,0.242984014,0.03616341,0.8,0.830451013,0.830451013
108,0.100495287,0.059354529,0.049673338,0.180441771,0.025303329,0.72,0.655632655,0.655632655
109,0.103027729,0.050199219,0.043437743,0.169816205,0.0205022,0.73,0.650942503,0.650942503
110,0.093485528,0.060857955,0.056225759,0.167527083,0.024929785,0.75,0.667034246,0.667034246
111,0.155299332,0.053059286,0.197873137,0.137123433,0.02273436,0.79,0.795355276,0.795355276
112,0.239857203,0.084061319,0.093134398,0.217624432,0.027654738,0.81,0.855812108,0.855812108
113,0.09641911,0.033022746,0.042707118,0.127946324,0.010735123,0.7,0.599259643,0.599259643
114,0.118181944,0.056887016,0.07091006,0.197145552,0.031866464,0.77,0.719418858,0.719418858
115,0.147961994,0.041551914,0.100797799,0.178321871,0.019257221,0.76,0.733674726,0.733674726
116,0.099232506,0.055319789,0.037887439,0.163907015,0.021207178,0.74,0.650070559,0.650070559
117,0.093498467,0.055371427,0.020991254,0.146763848,0.021924198,0.71,0.609404906,0.609404906
118,0.061061978,0.039921074,0.024801186,0.125758188,0.011187492,0.72,0.578912771,0.578912771
119,0.23185419,0.107792948,0.208586576,0.332207158,0.050695553,0.9,1.041773262,1.041773262
120,0.242874998,0.094609378,0.203817389,0.311699764,0.035943833,0.85,0.99844133,0.99844133
121,0.172813373,0.086406687,0.163260437,0.242258449,0.029582505,0.82,0.870946121,0.870946121
122,0.24801662,0.113443573,0.049645572,0.29687179,0.040605096,0.82,0.894325173,0.894325173
123,0.217934986,0.108463368,0.429745621,0.252598689,0.038459565,0.94,1.140518719,1.140518719
124,0.200311058,0.077318336,0.084526596,0.257982627,0.033001468,0.81,0.844153384,0.844153384
125,0.148454179,0.06141022,0.155388731,0.204392277,0.019866863,0.79,0.803089163,0.803089163
126,0.202139132,0.083053877,0.071818936,0.203735112,0.0280793,0.76,0.780241123,0.780241123
