"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"346","008470","부스타",5330,-50,-0.93,"KOSDAQ","금속",44797584000,280,19.04,NA,NA,9871,0.54,60,1.13
"347","008490","서흥",35900,-500,-1.37,"KOSPI","화학",415331156700,4829,7.43,4698,7.64,34874,1.03,500,1.39
"348","008500","일정실업",23800,-350,-1.45,"KOSPI","섬유의복",2.856e+10,NA,NA,NA,NA,15717,1.51,0,0
"349","008560","메리츠증권",4810,-130,-2.63,"KOSPI","증권",3077007884990,1201,4,1046,4.6,8360,0.58,100,2.08
"350","008600","윌비스",984,-11,-1.11,"KOSPI","유통업",66160262376,NA,NA,NA,NA,1711,0.58,0,0
"351","008700","아남전자",2730,-80,-2.85,"KOSPI","전기전자",210550758600,172,15.87,NA,NA,1016,2.69,0,0
"352","008730","율촌화학",25900,0,0,"KOSPI","화학",6.4232e+11,341,75.95,NA,NA,13954,1.86,500,1.93
"353","008770","호텔신라",71700,-1100,-1.51,"KOSPI","유통업",2814090275700,714,100.42,2521,28.44,15228,4.71,200,0.28
"354","008775","호텔신라우",59600,-400,-0.67,"KOSPI","유통업",44811988400,NA,NA,NA,NA,NA,NA,250,0.42
"355","008830","대동기어",8270,-330,-3.84,"KOSDAQ","기계·장비",74326790400,530,15.6,NA,NA,7700,1.07,40,0.48
"356","008870","금비",70900,-1100,-1.53,"KOSPI","비금속광물",7.09e+10,4566,15.53,NA,NA,129156,0.55,1600,2.26
"357","008930","한미사이언스",41500,-1150,-2.7,"KOSPI","기타금융",2847882886000,638,65.05,NA,NA,10268,4.04,200,0.48
"358","008970","동양철관",1140,-10,-0.87,"KOSPI","철강금속",135529230600,NA,NA,NA,NA,708,1.61,0,0
"359","009140","경인전자",28050,50,0.18,"KOSPI","전기전자",44060855850,2843,9.87,NA,NA,45795,0.61,250,0.89
"360","009155","삼성전기우",76200,-1500,-1.93,"KOSPI","전기전자",221512180800,NA,NA,NA,NA,NA,NA,2150,2.82
"361","009160","SIMPAC",6440,-10,-0.16,"KOSPI","철강금속",421366083040,1621,3.97,NA,NA,9786,0.66,200,3.11
"362","009180","한솔로지스틱스",3450,30,0.88,"KOSPI","운수창고업",94797116250,855,4.04,NA,NA,2859,1.21,60,1.74
"363","009200","무림페이퍼",2705,-15,-0.55,"KOSPI","종이목재",112553183550,NA,NA,NA,NA,9473,0.29,25,0.92
"364","009270","신원",1785,-15,-0.83,"KOSPI","섬유의복",170590331205,165,10.82,NA,NA,2665,0.67,50,2.8
"365","009290","광동제약",6630,-70,-1.04,"KOSPI","의약품",347550242130,585,11.33,NA,NA,12151,0.55,100,1.51
"366","009300","삼아제약",15350,0,0,"KOSDAQ","제약",97779500000,556,27.61,NA,NA,28185,0.54,250,1.63
"367","009310","참엔지니어링",836,-12,-1.42,"KOSPI","기계",49213162284,NA,NA,NA,NA,1387,0.6,0,0
"368","009320","대우부품",1975,25,1.28,"KOSPI","운수장비",94101590625,NA,NA,NA,NA,734,2.69,0,0
"369","009440","KC그린홀딩스",4890,-60,-1.21,"KOSPI","기타금융",109707052200,122,40.08,NA,NA,7257,0.67,70,1.43
"370","009450","경동나비엔",38600,-850,-2.15,"KOSPI","전기전자",562347651200,5898,6.54,NA,NA,31164,1.24,450,1.17
"371","009470","삼화전기",18700,-500,-2.6,"KOSPI","전기전자",123678434000,2131,8.78,NA,NA,9852,1.9,300,1.6
"372","009520","포스코엠텍",7170,-160,-2.18,"KOSDAQ","금속",298578180510,314,22.83,267,26.9,2511,2.86,80,1.12
"373","009540","한국조선해양",93300,2300,2.53,"KOSPI","운수장비",6603131722800,NA,NA,4725,19.74,139385,0.67,0,0
"374","009580","무림P&P",4610,85,1.88,"KOSPI","종이목재",287517973640,298,15.47,625,7.37,9788,0.47,125,2.71
"375","009620","삼보산업",1250,-10,-0.79,"KOSDAQ","금속",56569451250,NA,NA,NA,NA,666,1.88,0,0
"376","009680","모토닉",8440,30,0.36,"KOSPI","운수장비",2.7852e+11,548,15.4,NA,NA,19169,0.44,400,4.74
"377","009730","코센",2715,0,0,"KOSDAQ","금속",51080816355,NA,NA,NA,NA,1049,2.59,0,0
"378","009780","엠에스씨",6050,20,0.33,"KOSDAQ","음식료·담배",1.0648e+11,874,6.92,NA,NA,6575,0.92,60,0.99
"379","009810","플레이그램",1070,-35,-3.17,"KOSPI","유통업",95997260620,NA,NA,NA,NA,577,1.85,0,0
"380","009835","한화솔루션우",48350,600,1.26,"KOSPI","화학",54332683950,NA,NA,NA,NA,NA,NA,0,0
"381","009900","명신산업",22400,-200,-0.88,"KOSPI","운수장비",1175330979200,956,23.43,1785,12.55,5662,3.96,0,0
"382","010040","한국내화",3375,10,0.3,"KOSPI","비금속광물",138601334250,182,18.54,NA,NA,7164,0.47,35,1.04
"383","010050","우리종금",970,0,0,"KOSPI","기타금융",847977303820,91,10.66,117,8.29,686,1.41,20,2.06
"384","010060","OCI",125000,7000,5.93,"KOSPI","화학",2981171375000,27387,4.56,27639,4.52,128783,0.97,2000,1.6
"385","010100","한국프랜지",2625,10,0.38,"KOSPI","운수장비",79932352500,612,4.29,NA,NA,8412,0.31,90,3.43
"386","010120","LS ELECTRIC",59500,2900,5.12,"KOSPI","전기전자",1.785e+12,2890,20.59,5052,11.78,50525,1.18,1000,1.68
"387","010130","고려아연",560000,-2000,-0.36,"KOSPI","철강금속",1.05672e+13,45648,12.27,42953,13.04,430439,1.3,20000,3.57
"388","010140","삼성중공업",5970,140,2.4,"KOSPI","운수장비",5.2536e+12,NA,NA,NA,NA,4813,1.24,0,0
"389","010145","삼성중공우",231000,5500,2.44,"KOSPI","운수장비",26529195000,NA,NA,NA,NA,NA,NA,0,0
