"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"547","019685","대교우B",2290,-15,-0.65,"KOSPI","서비스업",44487807100,NA,NA,NA,NA,NA,NA,90,3.93
"548","019770","서연탑메탈",5890,-10,-0.17,"KOSDAQ","기계·장비",68618500000,343,17.17,NA,NA,6360,0.93,70,1.19
"549","019990","에너토크",11800,-50,-0.42,"KOSDAQ","기계·장비",115121838400,194,60.82,NA,NA,4727,2.5,70,0.59
"550","020120","키다리스튜디오",9990,-210,-2.06,"KOSPI","서비스업",365441602590,114,87.63,321,31.15,6419,1.56,0,0
"551","020150","일진머티리얼즈",74900,0,0,"KOSPI","전기전자",3453701541500,1361,55.03,2450,30.57,21440,3.49,300,0.4
"552","020400","대동금속",10050,-150,-1.47,"KOSDAQ","금속",32051118300,832,12.08,NA,NA,13714,0.73,60,0.6
"553","020560","아시아나항공",14950,-100,-0.66,"KOSPI","운수창고업",1112455871800,NA,NA,3764,3.97,6775,2.21,0,0
"554","020710","시공테크",5500,-10,-0.18,"KOSDAQ","기타서비스",110263835000,146,37.67,NA,NA,5886,0.93,50,0.91
"555","020760","일진디스플",2010,5,0.25,"KOSPI","전기전자",103542619410,NA,NA,NA,NA,268,7.5,0,0
"556","021045","대호특수강우",1310,15,1.16,"KOSDAQ","금속",5557630460,NA,NA,NA,NA,NA,NA,0,0
"557","021050","서원",1520,0,0,"KOSPI","철강금속",72161376800,311,4.89,NA,NA,2799,0.54,15,0.99
"558","021080","에이티넘인베스트",3460,-60,-1.7,"KOSDAQ","금융",1.6608e+11,1380,2.51,NA,NA,3185,1.09,200,5.78
"559","021240","코웨이",64300,0,0,"KOSPI","서비스업",4745315501700,6418,10.02,7376,8.72,26268,2.45,1250,1.94
"560","021320","KCC건설",7250,100,1.4,"KOSDAQ","건설",1.5515e+11,2363,3.07,2134,3.4,22186,0.33,180,2.48
"561","021650","한국큐빅",3155,-45,-1.41,"KOSDAQ","화학",51586026265,463,6.81,NA,NA,4584,0.69,70,2.22
"562","021820","세원정공",8090,0,0,"KOSPI","운수장비",8.09e+10,2478,3.26,NA,NA,44548,0.18,25,0.31
"563","021880","메이슨캐피탈",473,-6,-1.25,"KOSDAQ","금융",71983224984,21,22.52,NA,NA,331,1.43,0,0
"564","022100","포스코 ICT",6070,-40,-0.65,"KOSDAQ","기타서비스",922850805030,NA,NA,NA,NA,2355,2.58,50,0.82
"565","022220","TKG애강",1860,-20,-1.06,"KOSDAQ","화학",96337916940,88,21.14,NA,NA,1740,1.07,0,0
"566","023000","삼원강재",2885,25,0.87,"KOSPI","운수장비",1.154e+11,222,13,NA,NA,5504,0.52,105,3.64
"567","023150","MH에탄올",9090,-20,-0.22,"KOSPI","음식료품",67070801340,908,10.01,NA,NA,9654,0.94,350,3.85
"568","023160","태광",16050,2200,15.88,"KOSDAQ","금속",4.25325e+11,588,27.3,852,18.85,16860,0.95,100,0.62
"569","023350","한국종합기술",7620,-30,-0.39,"KOSPI","서비스업",8.3439e+10,1061,7.18,NA,NA,13678,0.56,100,1.31
"570","023410","유진기업",4070,-25,-0.61,"KOSDAQ","비금속",314655212410,1079,3.77,NA,NA,12368,0.33,170,4.18
"571","023440","제이스코홀딩스",2005,-5,-0.25,"KOSDAQ","금속",72974118345,NA,NA,NA,NA,2223,0.9,0,0
"572","023450","동남합성",58800,0,0,"KOSPI","화학",2.12268e+11,3271,17.98,NA,NA,12909,4.55,4300,7.31
"573","023460","CNH",1910,0,0,"KOSDAQ","금융",7.1052e+10,46,41.52,NA,NA,3826,0.5,20,1.05
"574","023530","롯데쇼핑",101500,0,0,"KOSPI","유통업",2871308632500,NA,NA,7747,13.1,356677,0.28,2800,2.76
"575","023590","다우기술",18900,-100,-0.53,"KOSPI","서비스업",847979061300,8693,2.17,NA,NA,45679,0.41,600,3.17
"576","023600","삼보판지",9980,-70,-0.7,"KOSDAQ","종이·목재",161376600000,3327,3,NA,NA,27697,0.36,175,1.75
"577","023760","한국캐피탈",803,-2,-0.25,"KOSDAQ","금융",253434489528,170,4.72,NA,NA,1294,0.62,35,4.36
"578","023770","플레이위드",8450,-210,-2.42,"KOSDAQ","디지털컨텐츠",74079629000,216,39.12,NA,NA,3441,2.46,0,0
"579","023790","동일철강",2745,-10,-0.36,"KOSDAQ","금속",43877304270,NA,NA,NA,NA,2553,1.08,0,0
"580","023800","인지컨트롤스",8180,-180,-2.15,"KOSPI","운수장비",125425682340,234,34.96,NA,NA,12678,0.65,150,1.83
"581","023810","인팩",8690,-180,-2.03,"KOSPI","운수장비",8.69e+10,306,28.4,NA,NA,10103,0.86,180,2.07
"582","023900","풍국주정",15250,-250,-1.61,"KOSDAQ","음식료·담배",1.9215e+11,566,26.94,NA,NA,11483,1.33,120,0.79
"583","023910","대한약품",26800,0,0,"KOSDAQ","제약",1.608e+11,3778,7.09,4339,6.18,33801,0.79,400,1.49
"584","023960","에쓰씨엔지니어링",2255,40,1.81,"KOSPI","건설업",70467295525,NA,NA,NA,NA,1001,2.25,0,0
"585","024060","흥구석유",6280,20,0.32,"KOSDAQ","유통",9.42e+10,96,65.42,NA,NA,5426,1.16,100,1.59
"586","024070","WISCOM",3195,-40,-1.24,"KOSPI","화학",48967969410,79,40.44,NA,NA,7839,0.41,50,1.56
"587","024090","디씨엠",20500,-200,-0.97,"KOSPI","철강금속",2.337e+11,5524,3.71,NA,NA,25636,0.8,900,4.39
"588","024110","기업은행",9530,-20,-0.21,"KOSPI","은행",7093184594110,2877,3.31,3317,2.87,34345,0.28,780,8.18
"589","024120","KB오토시스",5470,-200,-3.53,"KOSDAQ","운송장비·부품",6.2905e+10,NA,NA,NA,NA,8880,0.62,120,2.19
"590","024720","한국콜마홀딩스",16650,-300,-1.77,"KOSPI","기타금융",309302371350,1181,14.1,NA,NA,31792,0.52,245,1.47
"591","024800","유성티엔에스",2675,55,2.1,"KOSDAQ","운송",83670303150,1282,2.09,NA,NA,10713,0.25,0,0
"592","024810","이화전기",956,-6,-0.62,"KOSDAQ","IT부품",117595691020,308,3.1,NA,NA,2780,0.34,0,0
"593","024830","세원물산",6280,0,0,"KOSDAQ","운송장비·부품",5.2438e+10,3231,1.94,NA,NA,27983,0.22,25,0.4
"594","024840","KBI메탈",1825,-20,-1.08,"KOSDAQ","금속",60135297600,NA,NA,NA,NA,2939,0.62,0,0
"595","024850","피에스엠씨",1015,10,1,"KOSDAQ","반도체",41182230390,NA,NA,NA,NA,325,3.12,0,0
"596","024880","케이피에프",9450,550,6.18,"KOSDAQ","금속",168227142300,NA,NA,NA,NA,9417,1,0,0
"597","024890","대원화성",3235,40,1.25,"KOSPI","화학",133441006720,NA,NA,NA,NA,1742,1.86,0,0
"598","024900","덕양산업",2790,-5,-0.18,"KOSPI","운수장비",90856294200,191,14.61,NA,NA,1711,1.63,0,0
"599","024910","경창산업",2580,-35,-1.34,"KOSDAQ","운송장비·부품",92413032900,119,21.68,NA,NA,2507,1.03,0,0
"600","024940","PN풍년",5700,-30,-0.52,"KOSDAQ","유통",5.7e+10,228,25,NA,NA,4757,1.2,25,0.44
"601","024950","삼천리자전거",7840,-80,-1.01,"KOSDAQ","유통",104064843680,360,21.78,NA,NA,8181,0.96,150,1.91
"602","025000","KPX케미칼",51400,-100,-0.19,"KOSPI","화학",2.48776e+11,10123,5.08,9904,5.19,119120,0.43,2750,5.35
"603","025320","시노펙스",3425,-90,-2.56,"KOSDAQ","IT부품",251210221250,138,24.82,NA,NA,1222,2.8,0,0
"604","025440","대성엘텍",934,8,0.86,"KOSDAQ","일반전기전자",94307234362,NA,NA,NA,NA,345,2.71,0,0
"605","025530","SJM홀딩스",3110,-25,-0.8,"KOSPI","유통업",46444764880,314,9.9,NA,NA,11249,0.28,175,5.63
"606","025540","한국단자",58000,-1100,-1.86,"KOSPI","전기전자",6.0407e+11,6100,9.51,NA,NA,81648,0.71,700,1.21
"607","025550","한국선재",4900,220,4.7,"KOSDAQ","금속",117155070200,506,9.68,NA,NA,4452,1.1,0,0
"608","025560","미래산업",11200,-50,-0.44,"KOSPI","의료정밀",49862478400,1843,6.08,NA,NA,19102,0.59,0,0
"609","025620","제이준코스메틱",905,-6,-0.66,"KOSPI","화학",69669410470,NA,NA,NA,NA,803,1.13,0,0
"610","025750","한솔홈데코",1425,-5,-0.35,"KOSPI","종이목재",114805337325,68,20.96,NA,NA,1984,0.72,20,1.4
"611","025770","한국정보통신",9720,-580,-5.63,"KOSDAQ","통신서비스",363958314120,295,32.95,NA,NA,6019,1.61,0,0
"612","025820","이구산업",3310,-5,-0.15,"KOSPI","철강금속",110693020000,630,5.25,NA,NA,3669,0.9,50,1.51
"613","025860","남해화학",10050,160,1.62,"KOSPI","화학",499272372150,452,22.23,NA,NA,9748,1.03,60,0.6
"614","025870","신라에스지",11150,-50,-0.45,"KOSDAQ","유통",4.46e+10,357,31.23,NA,NA,3978,2.8,0,0
"615","025880","케이씨피드",3505,-70,-1.96,"KOSDAQ","음식료·담배",58589082290,255,13.75,NA,NA,3597,0.97,40,1.14
"616","025890","한국주강",2680,-30,-1.11,"KOSPI","기계",30308814120,NA,NA,NA,NA,2518,1.06,0,0
"617","025900","동화기업",73700,5200,7.59,"KOSDAQ","종이·목재",1488826744900,2161,34.1,4706,15.66,34328,2.15,0,0
"618","025980","아난티",7520,60,0.8,"KOSDAQ","숙박·음식",649945335520,221,34.03,1595,4.72,4429,1.7,0,0
"619","026040","제이에스티나",3020,45,1.51,"KOSDAQ","기타제조",49841445800,1112,2.72,NA,NA,3081,0.98,100,3.31
"620","026150","특수건설",10250,200,1.99,"KOSDAQ","건설",179849892750,NA,NA,NA,NA,5910,1.73,0,0
"621","026890","스틱인베스트먼트",8180,-230,-2.73,"KOSPI","기타금융",340927471500,1537,5.32,NA,NA,6111,1.34,150,1.83
"622","026910","광진실업",5820,0,0,"KOSDAQ","금속",37279457100,181,32.15,NA,NA,4054,1.44,0,0
"623","026940","부국철강",3940,45,1.16,"KOSPI","철강금속",7.88e+10,440,8.95,NA,NA,6021,0.65,75,1.9
"624","027040","서울전자통신",692,-1,-0.14,"KOSDAQ","유통",48155482124,1,692,NA,NA,1295,0.53,0,0
"625","027050","코리아나",2995,-20,-0.66,"KOSDAQ","화학",1.198e+11,107,27.99,NA,NA,2696,1.11,0,0
"626","027360","아주IB투자",3165,-65,-2.01,"KOSDAQ","금융",382404655740,339,9.34,NA,NA,2144,1.48,100,3.16
"627","027410","BGF",4310,-10,-0.23,"KOSPI","기타금융",412539369210,684,6.3,115,37.5,16393,0.26,110,2.55
"628","027580","상보",1620,-15,-0.92,"KOSDAQ","화학",95873671980,40,40.5,NA,NA,963,1.68,0,0
"629","027740","마니커",1405,-15,-1.06,"KOSPI","음식료품",89233275340,NA,NA,NA,NA,745,1.89,0,0
"630","027830","대성창투",3495,-130,-3.59,"KOSDAQ","금융",1.398e+11,191,18.3,NA,NA,1471,2.38,0,0
"631","027970","세하",1360,-45,-3.2,"KOSPI","종이목재",78285675920,178,7.64,NA,NA,1702,0.8,0,0
"632","028050","삼성엔지니어링",21500,1050,5.13,"KOSPI","서비스업",4.214e+12,1900,11.32,2473,8.69,10216,2.1,0,0
"633","028080","휴맥스홀딩스",3505,10,0.29,"KOSDAQ","컴퓨터서비스",44084158530,NA,NA,NA,NA,10961,0.32,0,0
"634","028100","동아지질",18200,450,2.54,"KOSPI","건설업",255758157200,412,44.17,NA,NA,18086,1.01,350,1.92
"635","028260","삼성물산",123500,1000,0.82,"KOSPI","유통업",23080554503500,9913,12.46,10353,11.93,184352,0.67,4200,3.4
"636","02826K","삼성물산우B",112500,1500,1.35,"KOSPI","유통업",183085312500,NA,NA,NA,NA,NA,NA,4250,3.78
"637","028670","팬오션",5590,-40,-0.71,"KOSPI","운수창고업",2988243572080,1028,5.44,1234,4.53,6728,0.83,100,1.79
"638","029460","케이씨",17450,-400,-2.24,"KOSPI","의료정밀",236518067800,4200,4.15,NA,NA,53833,0.32,300,1.72
"639","029480","광무",3605,-70,-1.9,"KOSDAQ","통신장비",118414401140,NA,NA,NA,NA,2230,1.62,0,0
"640","029530","신도리코",31850,-50,-0.16,"KOSPI","전기전자",321048923650,9845,3.24,NA,NA,99889,0.32,1500,4.71
"641","030000","제일기획",22200,-250,-1.11,"KOSPI","서비스업",2553915195000,1634,13.59,2034,10.91,11030,2.01,990,4.46
"642","030190","NICE평가정보",15550,-250,-1.58,"KOSDAQ","기타서비스",944115451000,915,16.99,1047,14.85,5044,3.08,330,2.12
"643","030210","다올투자증권",4410,-55,-1.23,"KOSPI","증권",265985145720,2669,1.65,2216,1.99,10191,0.43,250,5.67
"644","030350","드래곤플라이",2060,0,0,"KOSDAQ","디지털컨텐츠",85152885120,NA,NA,NA,NA,1339,1.54,0,0
"645","030520","한글과컴퓨터",16650,-400,-2.35,"KOSDAQ","소프트웨어",419643769500,759,21.94,1582,10.53,11567,1.44,0,0
"646","030530","원익홀딩스",3870,-70,-1.78,"KOSDAQ","기계·장비",298910986470,1430,2.71,NA,NA,12713,0.3,0,0
"647","030610","교보증권",6380,-20,-0.31,"KOSPI","증권",412488028480,2255,2.83,NA,NA,21947,0.29,500,7.84
"648","030720","동원수산",10150,100,1,"KOSPI","농업, 임업 및 어업",47236120750,1604,6.33,NA,NA,12199,0.83,0,0
"649","030790","비케이탑스",904,0,0,"KOSPI","서비스업",19208323080,NA,NA,NA,NA,333,2.71,0,0
"650","031330","에스에이엠티",3645,-25,-0.68,"KOSDAQ","유통",364482019215,614,5.94,NA,NA,3185,1.14,200,5.49
"651","031430","신세계인터내셔날",29550,-1150,-3.75,"KOSPI","유통업",1.054935e+12,2300,12.85,3261,9.06,20084,1.47,300,1.02
"652","031440","신세계푸드",61700,-1700,-2.68,"KOSPI","서비스업",238932016000,624,98.88,4499,13.71,73553,0.84,750,1.22
"653","031510","오스템",1985,-5,-0.25,"KOSDAQ","운송장비·부품",5.558e+10,NA,NA,NA,NA,4118,0.48,20,1.01
"654","031820","콤텍시스템",856,-5,-0.58,"KOSPI","서비스업",103620054896,28,30.57,NA,NA,1158,0.74,0,0
"655","031860","엔에스엔",1250,-25,-1.96,"KOSDAQ","유통",105802021250,NA,NA,NA,NA,699,1.79,0,0
"656","031980","피에스케이홀딩스",8620,-290,-3.25,"KOSDAQ","반도체",185867844900,2278,3.78,NA,NA,12142,0.71,400,4.64
"657","032080","아즈텍WB",2540,65,2.63,"KOSDAQ","섬유·의류",54587213660,550,4.62,NA,NA,5274,0.48,50,1.97
"658","032190","다우데이타",11550,-50,-0.43,"KOSDAQ","유통",4.42365e+11,3838,3.01,NA,NA,24053,0.48,300,2.6
"659","032280","삼일",2420,40,1.68,"KOSDAQ","운송",39236887800,NA,NA,NA,NA,3814,0.63,30,1.24
"660","032300","한국파마",31500,-950,-2.93,"KOSDAQ","제약",343561081500,584,53.94,NA,NA,5269,5.98,50,0.16
"661","032350","롯데관광개발",11550,-450,-3.75,"KOSPI","서비스업",835442119050,NA,NA,NA,NA,811,14.24,0,0
"662","032500","케이엠더블유",31100,-900,-2.81,"KOSDAQ","통신장비",1238429461300,NA,NA,364,85.41,6291,4.94,0,0
"663","032540","TJ미디어",6660,70,1.06,"KOSDAQ","일반전기전자",92784515940,230,28.96,541,12.32,5781,1.15,60,0.9
"664","032560","황금에스티",7740,90,1.18,"KOSPI","철강금속",1.3158e+11,1756,4.41,NA,NA,17464,0.44,200,2.58
"665","032580","피델릭스",1600,-20,-1.23,"KOSDAQ","반도체",53011302400,88,18.18,NA,NA,1226,1.31,0,0
"666","032620","유비케어",6090,-70,-1.14,"KOSDAQ","소프트웨어",317880576510,262,23.24,NA,NA,2323,2.62,40,0.66
"667","032680","소프트센",1820,-15,-0.82,"KOSDAQ","유통",69610819460,419,4.34,NA,NA,1522,1.2,0,0
"668","032685","소프트센우",24050,-300,-1.23,"KOSDAQ","유통",3435710850,NA,NA,NA,NA,NA,NA,0,0
"669","032750","삼진",7360,-140,-1.87,"KOSDAQ","일반전기전자",5.2992e+10,1338,5.5,NA,NA,12730,0.58,100,1.36
"670","032790","BNGT",4075,0,0,"KOSDAQ","정보기기",120352455875,266,15.32,NA,NA,1508,2.7,0,0
"671","032800","판타지오",759,-23,-2.94,"KOSDAQ","오락·문화",58895360964,NA,NA,NA,NA,490,1.55,0,0
"672","032820","우리기술",2070,20,0.98,"KOSDAQ","일반전기전자",306780686100,47,44.04,NA,NA,552,3.75,0,0
"673","032850","비트컴퓨터",7250,-180,-2.42,"KOSDAQ","소프트웨어",120518874250,294,24.66,NA,NA,3566,2.03,61,0.84
"674","032860","휴먼엔",3640,0,0,"KOSDAQ","기타서비스",65288375880,NA,NA,NA,NA,1808,2.01,0,0
"675","032940","원익",3860,35,0.92,"KOSDAQ","유통",70225867800,1566,2.46,NA,NA,11823,0.33,0,0
"676","032960","동일기연",13250,0,0,"KOSDAQ","IT부품",48165737500,2312,5.73,NA,NA,17895,0.74,40,0.3
"677","032980","바이온",1190,-30,-2.46,"KOSDAQ","유통",40809598200,NA,NA,NA,NA,996,1.19,0,0
"678","033050","제이엠아이",1150,-30,-2.54,"KOSDAQ","출판·매체복제",37466243300,60,19.17,NA,NA,1194,0.96,0,0
"679","033100","제룡전기",7400,230,3.21,"KOSDAQ","IT부품",118861826600,73,101.37,NA,NA,3683,2.01,50,0.68
"680","033130","디지틀조선",2330,20,0.87,"KOSDAQ","디지털컨텐츠",86478572110,74,31.49,NA,NA,2225,1.05,20,0.86
"681","033170","시그네틱스",1680,-70,-4,"KOSDAQ","반도체",144023575920,198,8.48,NA,NA,1441,1.17,0,0
"682","033180","KH 필룩스",1475,-20,-1.34,"KOSPI","전기전자",226029856975,NA,NA,NA,NA,3088,0.48,0,0
"683","033230","인성정보",2330,-30,-1.27,"KOSDAQ","컴퓨터서비스",91371835400,26,89.62,NA,NA,1871,1.25,0,0
"684","033240","자화전자",24000,-150,-0.62,"KOSPI","전기전자",474535680000,1279,18.76,1683,14.26,17751,1.35,0,0
"685","033250","체시스",1100,35,3.29,"KOSPI","운수장비",3.52e+10,NA,NA,NA,NA,1040,1.06,0,0
"686","033270","유나이티드제약",25500,-300,-1.16,"KOSPI","의약품",414242961000,1930,13.21,NA,NA,20259,1.26,370,1.45
"687","033290","코웰패션",6570,-100,-1.5,"KOSDAQ","유통",581446537380,745,8.82,NA,NA,5122,1.28,130,1.98
"688","033320","제이씨현시스템",5240,-130,-2.42,"KOSDAQ","유통",100159623680,801,6.54,NA,NA,5811,0.9,110,2.1
"689","033340","좋은사람들",1055,0,0,"KOSDAQ","섬유·의류",52653176320,NA,NA,NA,NA,959,1.1,0,0
"690","033500","동성화인텍",12450,600,5.06,"KOSDAQ","화학",368831623500,961,12.96,877,14.2,5064,2.46,350,2.81
"691","033530","세종공업",5950,-120,-1.98,"KOSPI","운수장비",165534717950,NA,NA,NA,NA,14814,0.4,100,1.68
"692","033540","파라텍",1345,-10,-0.74,"KOSDAQ","기계·장비",68158384755,20,67.25,NA,NA,1669,0.81,0,0
"693","033560","블루콤",9690,-10,-0.1,"KOSDAQ","IT부품",1.65699e+11,4,2422.5,NA,NA,9373,1.03,5,0.05
"694","033640","네패스",19600,-150,-0.76,"KOSDAQ","반도체",451960359200,NA,NA,NA,NA,7667,2.56,0,0
"695","033780","KT&G",81200,200,0.25,"KOSPI","기타제조업",11148150756400,7898,10.28,7889,10.29,76336,1.06,4800,5.91
"696","033790","스카이문스테크놀로지",829,0,0,"KOSDAQ","통신장비",14190075900,133,6.23,NA,NA,1288,0.64,0,0
"697","033830","티비씨",1085,-30,-2.69,"KOSDAQ","방송서비스",1.085e+11,49,22.14,NA,NA,1240,0.88,13,1.2
"698","033920","무학",7020,0,0,"KOSPI","음식료품",2.0007e+11,NA,NA,NA,NA,18822,0.37,230,3.28
"699","034020","두산에너빌리티",20250,500,2.53,"KOSPI","기계",12925737668250,1052,19.25,NA,NA,11261,1.8,0,0
"700","034120","SBS",42950,400,0.94,"KOSPI","서비스업",783948396900,7693,5.58,8265,5.2,37150,1.16,1000,2.33
"701","034220","LG디스플레이",15850,-50,-0.31,"KOSPI","전기전자",5671378845000,3315,4.78,9,1844.02,36664,0.43,650,4.1
"702","034230","파라다이스",14950,150,1.01,"KOSDAQ","오락·문화",1359592946400,NA,NA,NA,NA,14400,1.04,0,0
"703","034300","신세계건설",26150,300,1.16,"KOSPI","건설업",1.046e+11,6539,4,NA,NA,56534,0.46,850,3.25
"704","034310","NICE",13200,-200,-1.49,"KOSPI","서비스업",500046360000,1548,8.53,NA,NA,20040,0.66,375,2.84
"705","034590","인천도시가스",27850,550,2.01,"KOSPI","전기가스업",121836898900,901,30.91,NA,NA,46433,0.6,1250,4.49
"706","034730","SK",222500,1500,0.68,"KOSPI","기타금융",16498225702500,37408,5.95,36265,6.14,375047,0.59,8000,3.6
"707","03473K","SK우",193000,1000,0.52,"KOSPI","기타금융",109264055000,NA,NA,NA,NA,NA,NA,8050,4.17
"708","034810","해성산업",11800,0,0,"KOSDAQ","금융",311004316400,2012,5.86,NA,NA,27529,0.43,175,1.48
"709","03481K","해성산업1우",15500,100,0.65,"KOSDAQ","금융",1.55e+10,NA,NA,NA,NA,NA,NA,180,1.16
"710","034830","한국토지신탁",1680,10,0.6,"KOSPI","기타금융",424181906400,611,2.75,469,3.58,4475,0.38,100,5.95
"711","034940","조아제약",2950,-35,-1.17,"KOSDAQ","제약",91390489650,NA,NA,NA,NA,1611,1.83,0,0
"712","034950","한국기업평가",72400,-100,-0.14,"KOSDAQ","기타서비스",328733213600,4990,14.51,NA,NA,22458,3.22,3397,4.69
"713","035000","지투알",5990,-10,-0.17,"KOSPI","서비스업",99238779910,1067,5.61,NA,NA,9942,0.6,350,5.84
"714","035080","그래디언트",18800,-600,-3.09,"KOSDAQ","유통",291918579200,NA,NA,NA,NA,18460,1.02,250,1.33
"715","035150","백산",10050,-200,-1.95,"KOSPI","화학",244566750000,797,12.61,1681,5.98,6016,1.67,100,1
"716","035200","프럼파스트",4680,-60,-1.27,"KOSDAQ","화학",45539161200,252,18.57,NA,NA,4285,1.09,50,1.07
"717","035250","강원랜드",25550,0,0,"KOSPI","서비스업",5466179775000,NA,NA,1469,17.4,16044,1.59,0,0
"718","035290","골드앤에스",2385,-35,-1.45,"KOSDAQ","출판·매체복제",86394025350,21,113.57,NA,NA,419,5.69,0,0
"719","035420","NAVER",262500,-2500,-0.94,"KOSPI","서비스업",43062884812500,110854,2.37,8728,30.08,157641,1.67,511,0.19
"720","035610","솔본",4150,-70,-1.66,"KOSDAQ","기타서비스",113485887550,792,5.24,NA,NA,6296,0.66,0,0
"721","035620","바른손이앤에이",1145,-10,-0.87,"KOSDAQ","오락·문화",85233427875,122,9.39,NA,NA,1485,0.77,0,0
"722","035720","카카오",80800,-2400,-2.88,"KOSPI","서비스업",35951821912800,3221,25.09,2391,33.79,23018,3.51,53,0.07
"723","035760","CJ ENM",99300,0,0,"KOSDAQ","방송서비스",2177564992200,9332,10.64,7340,13.53,182220,0.54,2100,2.11
"724","035810","이지홀딩스",3630,-60,-1.63,"KOSDAQ","음식료·담배",236479417350,366,9.92,NA,NA,8063,0.45,50,1.38
"725","035890","서희건설",1500,10,0.67,"KOSDAQ","건설",344712685500,671,2.24,NA,NA,2965,0.51,50,3.33
"726","036000","예림당",1970,-10,-0.51,"KOSDAQ","출판·매체복제",45377525690,NA,NA,NA,NA,5709,0.35,0,0
"727","036030","케이티알파",6450,-150,-2.27,"KOSDAQ","유통",316174375350,NA,NA,NA,NA,4452,1.45,0,0
"728","036090","위지트",1015,-15,-1.46,"KOSDAQ","기계·장비",99405884480,112,9.06,NA,NA,1399,0.73,0,0
"729","036120","SCI평가정보",2980,-45,-1.49,"KOSDAQ","기타서비스",1.0579e+11,168,17.74,NA,NA,838,3.56,40,1.34
"730","036170","클라우드에어",1235,0,0,"KOSDAQ","반도체",75786548110,29,42.59,NA,NA,1914,0.65,0,0
"731","036180","지더블유바이텍",884,-14,-1.56,"KOSDAQ","유통",43487130908,NA,NA,NA,NA,601,1.47,0,0
"732","036190","금화피에스시",30350,1350,4.66,"KOSDAQ","건설",1.821e+11,3919,7.74,NA,NA,46357,0.65,1300,4.28
"733","036200","유니셈",7150,-250,-3.38,"KOSDAQ","반도체",219249194450,1297,5.51,1511,4.73,6222,1.15,120,1.68
"734","036460","한국가스공사",37800,750,2.02,"KOSPI","전기가스업",3489431400000,11078,3.41,11078,3.41,103337,0.37,2728,7.22
"735","036480","대성미생물",12900,-100,-0.77,"KOSDAQ","제약",4.902e+10,227,56.83,NA,NA,9738,1.32,75,0.58
"736","036530","SNT홀딩스",15650,350,2.29,"KOSPI","기타금융",255155815900,5329,2.94,NA,NA,65710,0.24,700,4.47
"737","036540","SFA반도체",5220,-160,-2.97,"KOSDAQ","반도체",858482781660,322,16.21,529,9.87,2436,2.14,0,0
"738","036560","영풍정밀",9130,-80,-0.87,"KOSDAQ","기계·장비",143797500000,746,12.24,NA,NA,20308,0.45,350,3.83
"739","036580","팜스코",5320,80,1.53,"KOSPI","음식료품",195392656760,88,60.45,NA,NA,8484,0.63,100,1.88
"740","036620","감성코퍼레이션",1745,-75,-4.12,"KOSDAQ","유통",156340791865,4,436.25,173,10.08,373,4.68,0,0
"741","036630","세종텔레콤",788,-8,-1.01,"KOSDAQ","통신서비스",218935506356,107,7.36,NA,NA,1274,0.62,0,0
"742","036640","HRS",6650,-20,-0.3,"KOSDAQ","화학",108759420000,1303,5.1,1037,6.41,6224,1.07,200,3.01
"743","036670","KCI",8890,-30,-0.34,"KOSDAQ","화학",100190300000,944,9.42,NA,NA,7674,1.16,200,2.25
"744","036690","코맥스",3775,60,1.62,"KOSDAQ","통신장비",58863865675,NA,NA,NA,NA,3479,1.09,50,1.32
"745","036710","심텍홀딩스",4170,-225,-5.12,"KOSDAQ","IT부품",169567124430,695,6,NA,NA,4051,1.03,50,1.2
"746","036800","나이스정보통신",25450,-750,-2.86,"KOSDAQ","통신서비스",2.545e+11,4245,6,3888,6.55,29620,0.86,590,2.32
"747","036810","에프에스티",14700,-300,-2,"KOSDAQ","반도체",319824798300,1657,8.87,NA,NA,10372,1.42,130,0.88
"748","036830","솔브레인홀딩스",21350,0,0,"KOSDAQ","기타서비스",447582595600,1523,14.02,NA,NA,52436,0.41,150,0.7
"749","036890","진성티이씨",10200,-50,-0.49,"KOSDAQ","기계·장비",229319133600,856,11.92,1535,6.65,8441,1.21,200,1.96
"750","037030","파워넷",4375,-55,-1.24,"KOSDAQ","일반전기전자",77273665000,143,30.59,NA,NA,4788,0.91,0,0
"751","037070","파세코",13900,-50,-0.36,"KOSDAQ","일반전기전자",2.78e+11,957,14.52,NA,NA,5086,2.73,300,2.16
"752","037230","한국팩키지",3435,-45,-1.29,"KOSDAQ","종이·목재",102364123245,NA,NA,NA,NA,2609,1.32,35,1.02
"753","037270","YG PLUS",6790,-120,-1.74,"KOSPI","서비스업",430685693900,348,19.51,NA,NA,2125,3.2,0,0
"754","037330","인지디스플레",1995,0,0,"KOSDAQ","IT부품",87551021880,113,17.65,NA,NA,4273,0.47,50,2.51
"755","037350","성도이엔지",5510,10,0.18,"KOSDAQ","기타서비스",85239700000,1483,3.72,NA,NA,18146,0.3,150,2.72
"756","037370","EG",10350,-50,-0.48,"KOSDAQ","건설",89268460200,622,16.64,NA,NA,7528,1.37,0,0
"757","037400","우리엔터프라이즈",2565,65,2.6,"KOSDAQ","유통",67262882490,899,2.85,NA,NA,4170,0.62,0,0
"758","037440","희림",9080,510,5.95,"KOSDAQ","기타서비스",126416073000,490,18.53,NA,NA,4769,1.9,150,1.65
