"","gradu2020","skilled2020","service2020","manu2020","enov2020","young2020","V7","V8"
"1",0.53285431,0.187399407,0.380678383,0.092931053,0.133503962,0.84,1.09505115366091,1.061135884339
"2",0.42308521,0.130704823,0.386377229,0.164787852,0.065624889,0.81,1.02531488067791,0.984799886804
"3",0.397275048,0.130367016,0.369085809,0.19924816,0.064630693,0.83,1.03624203473745,0.985287787848
"4",0.32216439,0.12477692,0.340558666,0.208925277,0.066234005,0.86,1.01057263367088,0.954595874007
"5",0.458161411,0.140782628,0.398633903,0.150058278,0.074305444,0.86,1.07952702292439,1.039688452508
"6",0.48197287,0.17499539,0.396358781,0.126219457,0.103423911,0.86,1.09336046552466,1.056346526647
"7",0.324718442,0.114872468,0.316818691,0.342805208,0.054444116,0.87,1.07260555828474,0.982573446064
"8",0.454663449,0.187264365,0.358181967,0.199042024,0.101212566,0.89,1.12583636710335,1.06568960989
"9",0.537819273,0.204113293,0.366009044,0.129046167,0.114253865,0.86,1.12602908994175,1.080230544671
"10",0.316695812,0.131645163,0.39941759,0.112261441,0.07623751,0.85,0.973733647238414,0.949433957807
"11",0.460268852,0.183524221,0.346933624,0.167718358,0.113596855,0.86,1.09095605075091,1.037294662026
"12",0.322855971,0.136736557,0.355696226,0.196574503,0.079861241,0.86,1.01421661890354,0.963012505995
"13",0.389618093,0.164015217,0.344601241,0.175864602,0.090453645,0.86,1.04656578272225,0.994522440764
"14",0.319085831,0.102092676,0.293581047,0.310320049,0.047547533,0.88,1.05003748155302,0.963530038033
"15",0.240284801,0.093206055,0.37421763,0.188975123,0.043698933,0.79,0.9053224927973,0.867666755011
"16",0.281377106,0.112810569,0.311690055,0.306167149,0.059124217,0.89,1.04333016787631,0.961451224055
"17",0.478333286,0.169671341,0.37895656,0.112827407,0.100828709,0.86,1.07829760538499,1.041746034337
"18",0.724098611,0.255855322,0.357848707,0.096477637,0.161725717,0.86,1.23170987494788,1.181948991165
"19",0.374171812,0.158540544,0.382215525,0.112353869,0.093311355,0.86,1.01701264030888,0.986030165919
"20",0.369130948,0.138699437,0.369784665,0.13371658,0.076238295,0.86,1.01362354283166,0.976697530192
"21",0.300565032,0.129565661,0.293016808,0.342880247,0.054220198,0.9,1.07669384767718,0.981891146313
"22",0.290994007,0.12163851,0.289625237,0.333277493,0.05610093,0.91,1.071048425364,0.977857997913
"23",0.432688699,0.187351769,0.346949016,0.213991799,0.091128061,0.87,1.1022915424076,1.039166548051
"24",0.475363358,0.181991778,0.347956964,0.167993415,0.120089364,0.86,1.10042052466059,1.046150654633
"25",0.481282316,0.180498728,0.367073294,0.104828845,0.107167235,0.87,1.08322589104716,1.045543456875
"26",0.583954801,0.208108963,0.358132594,0.164570454,0.113560373,0.87,1.17446347634229,1.116789811116
"27",0.342287068,0.130542183,0.323457754,0.238789709,0.063976082,0.86,1.03244317691524,0.966033262099
"28",0.286842655,0.124635679,0.294172753,0.297828772,0.041940592,0.86,1.01694925113999,0.93543901121
"29",0.34003278,0.112499564,0.307739888,0.304647178,0.03599712,0.82,1.02228687822029,0.941626479174
"30",0.434929075,0.158480474,0.31863435,0.217557368,0.077432737,0.88,1.09516086234717,1.026760841722
"31",0.418787536,0.187722855,0.282958063,0.345931443,0.08099041,0.91,1.16633152668748,1.061884102713
"32",0.328277426,0.137881767,0.330971069,0.202186414,0.067339384,0.87,1.01827378555446,0.961133535326
"33",0.274414173,0.102073265,0.336558179,0.212471739,0.049152602,0.84,0.962615715131496,0.909088379379
"34",0.221821992,0.075942888,0.29437927,0.290782519,0.031146062,0.8,0.92248719361585,0.849901456229
"35",0.272726061,0.092863904,0.349249896,0.160247951,0.04037019,0.78,0.895060663601429,0.858914253967
"36",0.249076726,0.085103317,0.304981314,0.106532949,0.025970954,0.74,0.811814616030178,0.784027837671
"37",0.321199143,0.10961617,0.480548813,0.06853425,0.039711435,0.74,0.891137344400977,0.896525561524
"38",0.396589732,0.132944676,0.397744864,0.06021978,0.063793598,0.74,0.915208107718294,0.904861697324
"39",0.446887361,0.138341792,0.454781411,0.066867252,0.062379468,0.82,1.01888037599977,1.009629988066
"40",0.400236287,0.131733773,0.395194104,0.129712922,0.078047845,0.85,1.02789278419383,0.995291408852
"41",0.420336299,0.128578559,0.444164661,0.065054373,0.055932188,0.79,0.976141730971123,0.968668839077
"42",0.315280417,0.093719673,0.401182297,0.096044553,0.03277566,0.8,0.915330824780831,0.899061533893
